id,value
037BCD,Plane
038594,Reagent_Breezerose
038A9F,GB_10m_Ruler
038ED2,TMP_AlchemyLab
039650,GO_Bedroll
03BA3A,Pathing_Volume_Node
03BC21,Pathing_Marker
03D8F3,TMP_Tent01
03D8F4,TMP_Tent02
03D8F5,TMP_Tent03
03D8F6,TMP_Tent04
03DA42,Purple_Flower_01
03DA89,Wo_Orb_TALL_BROKEN
03DC82,GEN_CampFire01
03DC83,GEN_CampFire02
03E065,INT_Shelf02
03E083,INT_Bed01
03E084,INT_Table01
03E085,INT_Table_Long
03E08B,INT_Chair01
03E1A4,INT_bar
03E822,Dev_CombatTestSpace
03EF0A,design_dev_wall
03F76A,FXMesh-TrollStone01
03F78F,lavatest
04036F,pickaxe02_ghost
042DF5,MirrorBlades_H
042F02,WO_Lever01
0431BE,ODV-Flora-Wheatgrass01
0431C0,ODV-Flora-GrassLong02
043806,MirrorBlades_2
0438AB,INT_Chair02
043AA2,MirrorBlades_Default
043B0D,INT_Chair03
043B0F,INT_Chair04
043B14,Sword_Default
043B16,Bow_Default
04415B,INT_Shelf_Large
044389,FXMesh-Cylinder_Vapor_01
0449A5,STR_HallCapArch_01
044F82,MirrorBlades_default_sheathed
0451F5,Reagent_BlazeBloom
047979,INT_Chandelier_01
04848F,MirrorBladesH
049310,almain_heavy_arms
049312,almain_heavy_legs
049313,almain_heavy_torso
04932B,MERC_HO_Inn
049448,MERC_HO_hall_square_tower
049498,MERC_HO_Blacksmith
049576,MERC_HO_Desk_01
049577,MERC_HO_Desk_02
049579,MERC_HO_Sign_Blacksmith
04957B,MERC_HO_Sign_Bracket_02
04957D,MERC_HO_Sign_Inn
04957E,MERC_HO_Table_Ornate_01
04957F,MERC_HO_Table_Ornate_02
049580,MERC_HO_Table_Ornate_03
049581,MERC_HO_Trough
049582,MERC_HO_urn_stone
049583,MERC_HO_WallCrest
049585,MERC_HO_WallMace
049586,MERC_HO_WallSwords
049587,MERC_HO_WallTsai
049588,MERC_HO_WeaponRack_01
0495CA,MERC_HO_shelf_wooden_01
0495CB,MERC_HO_shelf_wooden_02
0496AC,MERC_HO_cart_wagon_01
0496AD,MERC_HO_cart_wagon_02
0496AE,MERC_HO_painting_wall_01
0496B0,MERC_HO_painting_wall_02
0496B1,MERC_HO_painting_wall_03
0496E2,MERC_HO_inn_bar_angled
0496E3,MERC_HO_hearth_large
0496E4,FOR_grain_sacks_01
0496E5,FOR_grain_sacks_02
0496E6,FOR_grain_sacks_03
0496E7,FOR_grain_sacks_04
0496E8,FOR_grain_sacks_05
0496E9,FOR_grain_sacks_06
0496EA,FOR_grain_sacks_07
0496FB,MERC_HO_pewter_dish
0496FC,MERC_HO_pewter_goblet
0496FD,MERC_HO_pewter_tankard
04971D,MERC_HO_crates_01
04971E,MERC_HO_crates_02
04971F,MERC_HO_crates_03
049720,MERC_HO_crates_04
049721,MERC_HO_crates_05
0497FB,MERC_HO_chandelier_iron_chain
0497FC,MERC_HO_chandelier_iron_large
0497FD,MERC_HO_chandelier_iron_small
0497FE,MERC_HO_chandelier_iron_table
0497FF,MERC_HO_chandelier_iron_wall
049800,MERC_HO_cauldron_hanging
049801,MERC_HO_FireplaceIrons
04995C,MERC_HO_banner_almain_logo
04995D,Majestic_Arms
04995E,Majestic_head
04995F,Majestic_Legs
049960,Majestic_Torso
049969,Majestic_Hat
04999D,MERC_HO_banners_tapestries
04999E,MERC_HO_banners_tapestries_01
0499A2,MERC_HO_bed_inn_carved_big
0499A4,MERC_HO_bed_inn_carved_small
0499A5,MERC_HO_beer_keg_01
0499A6,MERC_HO_beer_keg_02
0499A7,MERC_HO_beer_keg_with_stand
0499AC,MERC_HO_brazier_01
0499AD,MERC_HO_brazier_02
0499B3,MERC_HO_bottles
0499B8,MERC_HO_carpet_burgundy_square
0499B9,MERC_HO_carpet_red_damask
0499BA,MERC_HO_carpet_red_damask_roll
0499BB,MERC_HO_mailbox01
04E6DD,GB_Hall
04E6DE,GB_Hall3Way
04E6DF,GB_Hall4Way
04E6E0,GB_HallAngle15L
04E6E1,GB_HallAngle15R
04E6E2,GB_HallAngle25L
04E6E3,GB_HallAngle25R
04E6E4,GB_HallAngle45L
04E6E5,GB_HallAngle45L01
04E6E6,GB_HallCorner
04E6E7,GB_HallCornerHalf
04E6E8,GB_HallDeadEnd
04E6E9,GB_HallRamp
04E6EA,GB_HallRampAngle25L
04E6EB,GB_HallRampAngle25R
04E6EE,GB_RoomL1
04E6EF,GB_RoomL1CornerDoor
04E6F0,GB_RoomL1CornerDoor2
04E70C,GB_RoomL1CornerIn
04E70D,GB_RoomL1CornerInHalf
04E70E,GB_RoomL1CornerOut
04E70F,GB_RoomL1Door
04E710,GB_RoomL1Mid
04E711,GB_RoomL1Wall
04E712,GB_RoomL1WallCorner
04E713,GB_RoomL1WallDoor
04E714,GB_RoomL1WallDoorMiddle
04E715,GB_RoomL2CornerIn
04E716,GB_RoomL2CornerInHalf
04E717,GB_RoomL2CornerOut
04E718,GB_RoomL2HighCornerDoor
04E719,GB_RoomL2HighCornerDoor2
04E71A,GB_RoomL2HighCornerIn
04E71B,GB_RoomL2HighCornerInHalf
04E723,GB_RoomL2HighCornerInL
04E724,GB_RoomL2HighCornerInR
04E725,GB_RoomL2HighCornerOut
04E726,GB_RoomL2HighDoor
04E727,GB_RoomL2Mid
04E728,GB_RoomL2Ramp
04E72D,GB_TransCAV
04E72E,GB_TransSTR
04E72F,GB_TransWO
04E74D,GB_RoomL2High
04E74E,GB_RoomL2
04E759,GB_Door
04E7D6,GB_RoomL2HighWall
04E7D7,GB_RoomL2HighWallCorner
04E7D8,GB_RoomL2HighWallDoor
04E7D9,GB_RoomL2HighWallDoorMiddle
0502DA,Jottun_Hammer_01
053108,FOR_Flora_Tree01
053F2A,copper_pot
053FA6,FOR_Flora_TreeLarge01
053FA7,FOR_Flora_TreeSmall01
0542BE,FOR_ruins_column01
054391,FOR_Flora_GrassFern01
054746,FOR_Flora_GrassFern02
0563AE,water_well
0563FA,CRYSTAL
05640A,FOR_Flora_Tree02
0564B8,leather_skirt
056AA2,Skin_Torso
056AA6,TMP_Cube_Water
057380,Jottun_VVS_Skele
0573C6,FOR_Flora_Mushroom_Cup01
0573C7,FOR_Flora_Mushroom_Fungus01
0573C8,FOR_Flora_Mushroom_Fungus02
0573E0,Jottun_VVS_Arms
0573E1,Jottun_VVS_Head
0573E2,Jottun_VVS_Legs
0573E3,Jottun_VVS_Torso
057617,FOR_Flora_TreeFern01
057689,M0_City_Castle_Interior_DoorExit
0576F4,FOR_House
057B2A,FOR_Flora_Bush01
057B64,FOR_Flora_TreeRoot01
057B9B,FOR_Stone_Wall_post
058379,FOR_lamp_01
05884A,FOR_Stone_Wall_wall
058AD5,FOR_Flora_LeafCover01
058F50,M0_Foyer_Test
058F52,M0_RMsmall_Test
05938D,FOR_Flora_Vine01
059395,FOR_ruins_base01
059396,FOR_ruins_base02
059397,FOR_ruins_base03
059398,FOR_ruins_columnruined01
05939B,FOR_ruins_column_piece01
05939D,FOR_ruins_pillarsmall01
05939E,FOR_ruins_pillarsmall02
05939F,FOR_ruins_pillarsmall03
0593A0,FOR_Stone_Goblin
0593DD,Bird_Mesh_VVS
0593DE,Bird_VVS_Skel
0593E2,Antelope_Mesh
0593E4,Antelope_Skel
059414,FOR_Lamp_moths_01
059565,M0_RMsmall_Test02
059566,M0_Foyer_Test02
059571,M0_OUT_Tree_Bridge
05957C,FOR_Flora_Vine02
05957D,FOR_Flora_Vine03
05957E,FOR_Flora_Vine04
0595A5,M0_Profession_House
0596AB,FOR_Flora_TreeRoot02
0596AC,FOR_Flora_TreeRoot03
0596AD,FOR_Flora_TreeRoot04
0596BF,FOR_Flora_TreeRoot05
0596C1,FOR_Stone_Wall_wall2
0596C2,FOR_Stone_Wall_post2
0597A4,FOR_ruins_columnwall01
0597A7,FOR_ruins_columnwall02
059AE6,FOR_ruins_basewall01
05A0AE,FOR_Stone_GoblinBusted
05A0B2,FOR_moth_large_01
05A0CB,FOR_ruins_basewallbroken01
05A0E0,FOR_ruins_wallrubble01
05A0EA,FOR_Stone_Chain
05A253,FOR_Stone_ChainBroke02
05A254,FOR_Stone_ChainBroke01
05B8E5,FOR_ruins_block01
05B8E6,FOR_ruins_block02
05B8E7,FOR_ruins_block03
05B8E8,FOR_ruins_block04
05B94D,FOR_House_Support
05BA58,FOR_livingVine
05BA8C,jump_test
05C11D,FOR_Flora_TreeLow01
05C11E,FOR_Flora_TreeLow02
05C612,environment_probe
05C635,M0_BridgeArching
05C6EB,FOR_Horizonline01
05CA77,TMP_TRAP_Quill_Plant_ammo
05CABE,M0_DoorInside
05DF6B,Bird_MeshGroup_VVS
05DF88,M0_Buffshrine_priestesses
060282,FOR_Flora_TreeLarge02
061C18,FOR_River_Fall01
061C19,FOR_River_Fall02
061C1A,FOR_River_Fall03
061C1B,FOR_River_LeanLeft01
061C1C,FOR_River_LeanRight01
061C1D,FOR_River_SmallDrop01
061C1E,FOR_River_SmallStraight01
061C1F,FOR_River_Straight01
061C20,FOR_River_TurnLeft01
061C21,FOR_River_TurnRight01
0625BD,M0_Lootbag
062F82,FOR_Ocean
0630C9,FOR_House_Cottage
0630D0,FOR_ruins_platform1x1_01
0630D1,FOR_ruins_platform2x2_01
0630D2,FOR_ruins_platformshort_01
0630D3,FOR_ruins_ramp_01
0630E0,MERC_HO_shelf_wooden_burnt
063121,FOR_ruins_platform2x4_01
063122,FOR_ruins_platform2x6_01
063123,FOR_ruins_platform4x4_01
063124,FOR_ruins_platform4x6_01
0641F6,FOR_Rock_Cliff01
06452C,FOR_Rock_Cliff02
06459D,FOR_ruins_walllarge_01
06459E,FOR_ruins_wallmedium_01
06459F,FOR_ruins_basewall02
0647AA,FOR_Rock_Cliff03
0649EB,Niskaru_Skele
0649FB,FOR_Rock_Stone01
064A02,FOR_House_38
064AE9,Niskaru_Mesh
064CB3,FOR_House_38jj
064F38,Chicken_Skel
065234,FOR_Well
0654AA,Wood_Splinter_Large_01
0654AD,Wood_Splinter_Small_01
0654B3,FOR_Rock_Cliff04
065506,TrapDoor
065E5A,TMP_M1_FCA_LoadDoor
065E90,FOR_Cottage_Stairs
065FCF,FOR_Waterwheel
066167,FOR_Flora_TreeFallen01
0661BC,FOR_Flora_TreeStump01
0661EE,FOR_Rock_Stone02
0661EF,FOR_Rock_Stone03
06629E,FOR_Rock_Stone04
0662F3,FOR_ruins_mosaic01
0662F9,FOR_Flora_TreeFallen02
06632F,M0_Statue_01
066370,FOR_Cottage_Chimney
066377,FOR_Flora_GrassLong01
0664E1,FOR_Flora_Twist01
0664E5,FOR_ruins_arch01
0664F2,FOR_Flora_Twist02
0664F3,FOR_Flora_Twist03
066511,FOR_Flora_TreeFallen03
066779,FOR_ruins_spiketrap
06679C,FOR_Cottage_Entrance
066B6C,For_Flora_Mushroom_Glowing01
066BE9,FOR_Doober_Web_02
066C39,FOR_Doober_Web_Pod_01
066C8B,For_Flora_Mushroom_Glowing02
066CA5,FOR_Flora_Mushroom_Glowing03
066CE8,FOR_Doober_Web_03
066DB7,FOR_Doober_Web_01
066DBA,FOR_Doober_Web_04
066DBC,FOR_Doober_Web_05
066DBD,FOR_Doober_Web_06
066F41,M0_Boat
0671AF,FOR_Cottage_Dormer_A
0671B2,FOR_Cottage_Dormer_B
0671B3,FOR_Cottage_SideWall
0672AF,FOR_Doober_Web_07
0672CC,FOR_ruins_stairs01
0672D1,FOR_Doober_Web_Tunnel_01
067307,FOR_Doober_Web_Pod_02
067502,FOR_Brisge_Arched
0677D3,FOR_Fountain_Center01
0677D4,FOR_Fountain_Corner01
0677D5,FOR_Fountain_Corner02
0677D6,FOR_Fountain_Perimeter01
0677D7,FOR_Fountain_Pillar01
0677D8,FOR_Fountain_UShape01
0677D9,FOR_Fountain_Wall01
0677DA,FOR_Fountain_Whole01
0678A6,FOR_ruins_waterplane01
0678AA,FOR_Bridge_Arched
0678AB,FOR_Bridge_Arched02
0678C4,FOR_Fountain_waterplane01
0678FC,FOR_Fountain_waterfall01
067B4D,FOR_Rock_RiverBank01
067BAD,FOR_Rock_RiverBank02
067BD2,FOR_Rock_RiverBank03
067C24,FOR_Rock_Stone05
067D73,FOR_Cottage_Trellis
068015,FOR_Cart_Hut01
06836A,FOR_Cart_Open01
06840D,FOR_Fauna_Fish_01
06848B,FOR_Doober_Web_08
06848C,FOR_Doober_Web_09
06849F,FOR_Doober_Web_10
0684FB,FOR_Doober_Web_11
068679,FOR_ruins_basewall01_low
06867A,FOR_ruins_basewall02_low
068F18,FOR_Woodpile
068F2D,FOR_House_Small
068F53,FOR_Flora_TreeBranch01
068F9D,FOR_brazier_01
068F9E,FOR_brazier_02
068FCD,FOR_barrel
068FCF,FOR_barrel_with_stand
069129,FOR_Flora_TreeLog01
0692A7,FOR_Fountain_Statue01
069325,FOR_Dock
069355,FOR_Woodpile_Log_A
069356,FOR_Woodpile_Log_B
069357,FOR_Woodpile_Log_C
069422,FOR_Cottage_Wall
069423,FOR_Cottage_WallCorner
06944D,FOR_Cottage_WallStairs
0694A7,FOR_Cottage_Outhouse
06995D,FOR_Cottage_Ruined01
069A32,FOR_Cottage_Ruined02
06B07A,FXMesh-Energy_Ring_01
06B10E,player_staff_01
06B112,Staff_Default
06B225,FOR_Tower
06B226,FOR_Windmill
06BA98,DEV_sprite_default_torso
06BAA8,DEV_sprite_default_head
06BAAB,DEV_brownie_default_torso
06BAAD,DEV_brownie_default_head
06BAAF,DEV_sprite_default_arms
06BAB0,DEV_brownie_default_arms
06BAB2,DEV_sprite_default_legs
06BAB3,DEV_brownie_default_legs
06BB46,DEV_sprite_champion_default_arms
06BB48,DEV_sprite_champion_default_head
06BB49,DEV_sprite_champion_default_legs
06BB4A,DEV_sprite_champion_default_torso
06BCB4,FOR_Rubble_Pile01
06BCF6,FOR_Door
06BD5A,FOR_Rock_Mountain01
06BE07,FOR_Rubble_Pile02
06C1A1,FOR_ruins_torchbrazier01
06C260,FOR_Rubble_Pile03
06C261,FOR_Rubble_Pile_Small01
06C35B,TMP_M1_WO_GreenFlower01
06C3BA,FOR_Rock_CaveEntrance
06C3BB,FOR_Rock_CaveStraight
06C409,FOR_Rock_CaveRoom
06C40B,FOR_Rock_CaveEnd
06C734,TMP_M1_Salamander_01
06C7B3,TMP_M1_Wolf_01
06C8A8,FOR_Well02
06CCEF,TMP_M1_Dryad_Head
06CCF3,TMP_M1_Dryad_Torso
06CCF4,TMP_M1_Dryad_Legs
06D0A4,FOR_Rubble_Wood_LG01
06D0A5,FOR_Rubble_Wood_LG02
06D0A7,FOR_Rubble_Wood_SM01
06D0A9,FOR_Rubble_Wood_SM02
06D0AA,FOR_Rubble_Wood_SM03
06D0AB,FOR_Rubble_Wood_SM04
06D320,FXMesh-MagicShield_Mana
06D524,FOR_BonePile_BoneA
06D525,FOR_BonePile_BoneB
06D526,FAU_Carcass01
06D527,FOR_BonePile_CorpseB
06D528,FOR_BonePile_CorpseC
06D529,FOR_BonePile_CorpseD
06D52A,FOR_BonePile_FleshA
06D52B,FOR_BonePile_FleshB
06D52C,FOR_BonePile_LumpA
06D52D,FOR_BonePile_LumpB
06D52E,FOR_BonePile_Plain
06D52F,FOR_BonePile_CorpseA
06DB93,FOR_River_Pond
06DB94,FOR_Sacrificial_Column
06E053,FOR_Entrance_Gate
06E10A,FOR_ruins_arch_broken01
06E520,FOR_Village_PlanterRing
06E603,FOR_River_FallFree01
06E63A,Almain_Male_Ranger_Hybrid_Arms
06E63C,Almain_Male_Ranger_Hybrid_Chest
06E63E,Almain_Male_Ranger_Hybrid_Feet
06E642,Almain_Male_Ranger_Hybrid_Legs
06E649,FOR_Chest01
06E658,FOR_Village_WindowBoards
06E662,FOR_Village_DoorMarker
06E700,FOR_River_FallFree02
06E777,FOR_River_FallFree03
06E8AD,FOR_River_Splash
06E8D3,FOR_River_Drops
06ECC3,FOR_ruins_rampbridge01
06ECC7,FOR_ruins_stairs_large01
06EDF4,FOR_Rock_CaveArch
06F86D,human_skel
06FD1D,FXMesh-Niskaru_summon_01
07035C,FXMesh-Helix_01
070635,FXMesh-meteor_charge_trails_01
070AA7,TMP_Gate
070D3D,TMP_M1_CAV_LoadDoor
070DE2,TMP_M1_HOL_LoadDoor
070DE3,TMP_M1_DVG_LoadDoor
070DE4,TMP_M1_MIN_LoadDoor
070EB8,FXMesh-MeteorStorm
0714F1,MIN_RockBreaker
0715DE,TMP_skeleton_01
0715DF,TMP_skeleton_02
0715E0,TMP_skeleton_03
071AF2,invisible_mesh_01
071BF3,MIN_Cart01
071BF4,MIN_RockCrusher
071D06,TMP_EntranceOrb
07209C,human_skel_npc
0720B1,FOR_House_Wall
0720E1,FXMesh-Staff_Ice_Attack_Charge_special_mesh
0720FF,ice_fragment_02
07288A,TMP_M1_FOR_Stone_Goblin_Blue
072A0C,INT_VIL_Large
072D8A,TMP_ladder
073223,TMP_M1_Reagent_BlazeBloomBlue
073248,TMP_M1_Reagent_BlazeBloomMagical
07338F,TMP_M1_Reagent_BlazeBloomPink
073A5A,daggers_default
073BBA,INT_VIL_Small
074143,INT_VIL_Large_Room
07460C,TMP_M1_Reagent_BlazeBloomMosscrystal
07460E,TMP_M1_Reagent_BlazeBloomBriarcane
07496A,INT_VIL_Chandelier
074973,INT_VIL_Small_Room
074975,INT_VIL_Small_Stairs_2Way
074979,INT_VIL_Small_Stairs_Down
07497B,INT_VIL_Small_Stairs_Up
07497D,INT_VIL_Small_Wall
07497F,INT_VIL_Wall_Lamp
07498A,INT_VIL_Wall_Ring
074B81,NCA_TMPpiece01
074BCC,NCA_Stalagmite01
0750DB,INT_VIL_Large_Wall_Lower
07510E,INT_VIL_Large_Wall_Upper
07510F,INT_VIL_Small_DividingWall
075157,NCA_Stalagmite02
075158,NCA_Stalagmite03
075159,INT_VIL_Small_Wall_Plain
07566B,INT_VIL_Small_UpperRoom
0757CA,INT_VIL_Small_Cellar
0757CB,INT_VIL_Small_Cellar_Wall
07643A,Boggart_Mesh
0767B7,INT_VIL_Small_UpperRoom_Test
0767C9,MIN_SupportBeam01
076802,NCA_Chain01
076833,MIN_Chain01
076838,MIN_TracksStraight01
076899,INT_VIL_Small_Fireplace
076AAB,MIN_Scaff01
076DF3,NCA_Stalagmite04
076DF4,NCA_Stalagmite05
076E0D,Almain_Male_Peasant_Hat
077284,PLN_Flora_GrassFlowerLavender
077285,PLN_Flora_GrassFlowerRed
077286,PLN_Flora_GrassGreen01
077287,PLN_Flora_GrassLong01
077288,PLN_Flora_GrassLong02
077289,PLN_Flora_GrassLong03
0773E2,TMP_M1_MoneybagSmall
0773E3,TMP_M1_MoneybagMedium
0773EA,TMP_M1_MoneybagLarge
077431,TMP_TR05_InvisibleWall
077491,daggers_default_back
07766C,VIL_Building_NS_Small
077679,NCA_Stalagmite06
07767A,NCA_Stalagmite07
07767B,NCA_Stalagmite08
07767C,NCA_Stalagmite09
077BE4,VIL_Door_NS
077FAF,MIN_SupportBeamArch01
077FB0,MIN_SupportBeamArch02
077FB1,MIN_Scaff02
077FB2,MIN_ScaffArch01
0782E9,VIL_Building_NS_Addon01
07836A,MIN_ScaffConnector01
07836B,MIN_ScaffConnector02
078372,MIN_ScaffSlat01
078373,MIN_ScaffSlat02
078772,TMP_M2_HeroShrine_Obelisk
078812,PLN_Flora_TreeSavanna01
078867,Boggart_Skele
078D25,NCA_Hall_Straight01
078D26,NCA_Hall_3way01
078F7C,PLN_Flora_TreeSavanna02
07930F,POI_Mesh_01
0794A2,PLN_Flora_TreeSavannaRoot01
0794EC,PLN_Flora_TreeSavannaRoot02
07996A,NCA_Hall_Corner01
07996B,NCA_Hall_DeadEnd01
07996C,NCA_Hall_Ramp01
07AD8A,NCA_Room_2x2_Basic
07AE57,NCA_Room_3x3_Basic
07B126,TMP_WaterFallFX
07B54C,Brownie_Skel
07B575,Brownie_A
07B805,NCA_Room_3x2_Basic
07BFC4,Explosion_Skel_01
07C056,FOR_Rock_Spike01
07C07E,FOR_Rock_Spike02
07C07F,FOR_Rock_Spike03
07C085,VIL_Building_NS_Large
07C20C,NCA_Stalagtite_Medium01
07C20D,NCA_Rock_Large01
07C20E,NCA_Rock_Medium01
07C20F,NCA_Rock_Medium02
07C210,NCA_Rock_Medium03
07C211,NCA_Room_Cap01
07C256,NCA_Room_2x2_Basic_Open
07C257,NCA_Room_3x2_Basic_Open
07C258,NCA_Room_3x3_Basic_Open
07C26B,FXMesh-Poison_Vapor_01
07C36E,Explosion_Skel_02
07C4DA,MIN_Door01
07C507,NCA_Hall_Dropoff01
07C526,NCA_Hall_Entrance01
07C6CD,FOR_Rock_Stone06
07C6F0,FOR_Rock_Stone07
07C72F,FOR_Rock_SpikeSm01
07C730,FOR_Rock_SpikeSm02
07C731,FOR_Rock_Spike04
07C7FB,VIL_Building_NS_Addon02
07CAF0,NCA_Waterfall01
07CAF3,NCA_Waterfall_Large01
07CAF4,NCA_Waterfall_Medium01
07CAF5,NCA_Waterfall_Small01
07CB4B,NCA_Waterfall_Huge01
07CB4C,MIN_Scaff03
07CB4D,MIN_TracksCurve01
07CF00,NCA_Flora_Mushrooms01
07CF04,FOR_Rock_Mountain02
07CF06,NCA_Flora_Mushrooms_large01
07CF4D,FOR_Rock_Mountain03
07D6C3,01_Magic_Set_Unique_Feet
07D6C9,01_Magic_Set_Unique_Hands
07D6DB,01_Magic_Set_Unique_Torso
07D7C0,Base_Male_Feet_01
07D7F2,Base_Male_Hands_01
07D7F3,Base_Male_Head_01
07D820,Base_Male_Legs_01
07D823,Base_Male_Torso_01
07D955,06_Melee_Set_Unique_Feet
07D95B,06_Melee_Set_Unique_Hands
07D967,06_Melee_Set_Unique_Legs
07D96C,FXMesh-Dagger_Wedge_01
07D96E,06_Melee_Set_Unique_Torso
07DEB1,05_Prismere_Sword_1h
07E02D,01_hammer_Unique
07E0D4,01_Mirror_Blades_Unique
07E0D5,01_Mirror_Blades_Unique_Back
07E0DB,02_Mirror_Blades_Unique
07E0DC,02_Mirror_Blades_Unique_Back
07E0E2,03_Mirror_Blades_Unique
07E0E3,03_Mirror_Blades_Unique_Back
07E0E9,04_Mirror_Blades_Unique
07E0EA,04_Mirror_Blades_Unique_Back
07E392,FOR_Rock_Mountain04
07E60A,TMP_M2_FOR_Aryllia_Statue01
07E877,NCA_Room_3x3_CaveBridge
07E8F9,VIL_Building_NS_Dormer
07E999,FOR_Rock_Mountain05
07E9A0,FOR_Rock_Cliff05
07EA19,TMP_M2_FOR_Rock_FaeStone05
07EA1A,TMP_M2_FOR_FaeFountain_Center01
07ED68,NCA_moths_glowing01
07F0D2,NCA_Room_HugePitFalls
07F0D3,NCA_Hall_LongVista01
07F0D4,NCA_Hall_DeadEndVista01
07F0D7,INT_VIL_Small_Stairs_UpDown
07F239,projectile_lightning_trap
07F257,NCA_Grass_Medium01
07F258,NCA_Rock_Small01
07F268,NCA_Room_3x3_CaveBridge_Open
07F37F,INT_VIL_Large_Fireplace01
07F390,PLN_StandingStone01
07F3B5,PLN_StandingStone02
07F3B6,PLN_StandingStone03
07F3F1,PLN_StandingStonePillar01
07FBCB,FHO_StatueHead01
07FD06,VIL_Building_NS_Tower
07FF59,FHO_StatueHead02
080190,FHO_TMPhall01
080595,VIL_Bridge_NS_Arch
0805A2,VIL_Bridge_NS_Flat
0805A3,VIL_Bridge_NS_Support
08060C,FHO_StatueHeadVines01
080CCB,FHO_TMP_Room
0814C4,DET_Flora_GrassCactus01
081612,DET_Flora_GrassCactus02
081613,DET_Flora_GrassDry01
081614,DET_Flora_GrassDry02
081615,DET_Flora_GrassDry03
081616,DET_Rock_Canyon01
081617,DET_Rock_Canyon02
081618,DET_Rock_Canyon03
081638,DET_Rock_Canyon04
081639,DET_Rock_Canyon05
08163A,DET_Rock_Canyon06
08163B,DET_Rock_Canyon07
08175E,TMP_Grave
081C4C,xStaff_Ice_Attack_02_mesh
081CB4,temp_shield_large
081CB5,temp_shield_small
082016,FHO_StatueHeadGlow02
082243,FHO_GlowOrb01
082329,FHO_GlowOrb02
08262F,Studded_Leather_Torso_TEST
082791,DET_Rock_Stack01A
0827DF,DET_Rock_Stack02
08287F,DET_Rock_Stack03
0828D8,DET_Rock_Stack04
082958,INT_VIL_Small_Alfar
082965,INT_VIL_Small_Alfar_Wall
082971,INT_VIL_Small_Alfar_Fireplace
0829CE,Studded_Leather_MAN_TEST
0829E4,INT_VIL_Small_Alfar_Stairs_Up
082A30,Murghan_Skel
082A31,DET_Rock_Bridge01
082AAC,Staff_Ice_Shard_01
082C52,VIL_Bridge_NS_Covered
082CA7,FHO_GroundTrim01
082D81,xStaff_Fire_Attack_02_mesh
082FC9,xStaff_Lightning_Attack_02_Mesh
08301D,INT_VIL_Small_Alfar_UpperRoom
08307C,INT_VIL_Small_Alfar_Stairs_UpDown
083101,Murghan_Trident
083165,INT_VIL_Small_Alfar_Cellar
0831C4,FHO_GroundTrim02
083208,INT_VIL_Small_Alfar_Room
083272,INT_VIL_Small_Wall_Alfar_Plain
083279,INT_VIL_Small_Alfar_DividingWall
0834DA,FHO_Stone01
0834EF,FHO_FungusStripe01
083601,DET_Rock_Canyon01sm
083615,1_leather_feet
083617,1_leather_legs
083618,1_leather_torso
083629,2_boiled_leather_feet
08362A,2_boiled_leather_hands
08362B,2_boiled_leather_head
08362C,2_boiled_leather_legs
08362D,2_boiled_leather_torso
083647,grappling_hook
0836AB,1_leather_hands
